Tunnel,Cultivar,LT,GrowthPeriod,L1Up,L1Lo,L2Up,L2Lo,L3Up,L3Lo,L4Up,L4Lo,L5Up,L5Lo,L0Up,L0Lo,exposed,hidden,prop_exp,prop_hid,L1Total,L2Total,L3Total,L4Total,L5Total,L0Total,plant_total,GRNorm,L1A,L2A,L3A,L4A,L5A,L0A,LATotal,OLA
1,1,1,14,32,45,0,1,2,9,0,0,8,7,6,107,32,185,0.147465438,0.852534562,77,1,11,0,15,113,217,0.269318532,85.7,101.8,97.1,95,75,97.5,552.1,364.6
1,1,1,14,4,54,5,28,0,15,4,25,0,0,0,30,9,156,0.054545455,0.945454546,58,33,15,29,0,30,165,0.24975054,61,91.1,96.5,95.6,72.4,123.5,540.1,388
1,2,1,14,12,17,2,66,4,3,19,27,1,0,18,0,14,155,0.082840237,0.917159763,29,68,7,46,1,18,169,0.251461486,71.3,94.4,110.8,83.5,32.5,1.9,394.4,228.7
1,2,1,14,7,220,0,6,7,5,1,2,53,26,0,7,7,327,0.020958084,0.979041916,227,6,12,3,79,7,334,0.300121649,118.2,125.6,101.9,64.2,16.8,1.1,427.8,184
1,2,1,14,26,152,3,39,2,20,1,3,0,0,0,20,29,237,0.109022556,0.890977444,178,42,22,4,0,20,266,0.283861314,42.9,66.8,110.5,86.4,45.3,9.4,361.3,251.6
2,1,2,14,1,100,0,72,0,11,0,3,0,5,11,13,1,215,0.00462963,0.99537037,101,72,11,3,5,24,216,0.268988607,59.2,76.5,84.2,94.3,72.8,99.1,486.1,350.4
2,1,2,14,0,21,2,57,0,32,0,3,0,0,32,40,2,185,0.010695187,0.989304813,21,59,32,3,0,72,187,0.258690765,73.4,88.5,107.8,85.9,65,105.1,525.7,363.8
2,1,2,14,0,49,4,134,9,24,7,6,1,0,12,32,4,274,0.014388489,0.985611511,49,138,33,13,1,44,278,0.287013086,70.8,88.8,96,90.7,74.4,117.8,538.5,378.9
2,2,2,14,3,28,3,44,0,1,1,0,0,0,0,0,6,74,0.075,0.925,31,47,1,1,0,0,80,0.198042052,65.3,79.2,82.8,60.8,19.7,2.3,310.1,165.6
2,2,2,14,2,28,0,101,3,16,2,3,0,2,0,0,2,155,0.012738854,0.987261147,30,101,19,5,2,0,157,0.246200564,74.3,87.9,111.7,74.2,17.3,2.6,368,205.8
4,1,4,14,0,57,3,52,3,16,0,0,1,1,91,108,3,329,0.009036145,0.990963855,57,55,19,0,2,199,332,0.299692647,77.1,102.9,110.5,103.9,77.6,104.4,576.4,396.4
4,1,4,14,0,69,0,16,4,19,0,4,11,7,64,115,0,309,0,1,69,16,23,4,18,179,309,0.294564526,71.6,98,88,92.5,70.3,100.2,520.6,351
4,1,4,14,0,38,3,141,2,32,0,0,0,11,12,29,3,265,0.01119403,0.98880597,38,144,34,0,11,41,268,0.284396362,86.8,102,101.1,112.7,83.4,124.6,610.6,421.8
4,2,4,14,7,139,0,34,2,14,0,0,0,0,0,0,7,189,0.035714286,0.964285714,146,34,16,0,0,0,196,0.262048339,52.6,75.5,121.5,87.4,29.8,3.9,370.7,242.6
4,2,4,14,3,123,2,107,3,45,0,4,1,5,5,1,5,294,0.016722408,0.983277592,126,109,48,4,6,6,299,0.29221469,54.4,82.6,107.3,83.1,37.7,5.1,370.2,233.2
4,2,4,14,3,161,1,53,0,2,4,22,0,0,1,0,4,243,0.016194332,0.983805668,164,54,2,26,0,1,247,0.278567887,55.2,77.1,99.6,75.1,31.3,7.2,345.5,213.2
6,1,1,14,1,51,0,11,1,8,1,5,9,2,21,54,1,163,0.006097561,0.993902439,52,11,9,6,11,75,164,0.249316323,67.3,91.4,109.2,105,73.8,102,548.7,390
6,1,1,14,2,77,4,73,14,47,1,2,2,3,28,46,6,293,0.02006689,0.97993311,79,77,61,3,5,74,299,0.29221469,75.6,98.1,108,90.9,78.9,98.5,550,376.3
6,1,1,14,1,7,0,54,0,86,0,0,0,0,9,86,1,242,0.004115226,0.995884774,8,54,86,0,0,95,243,0.277401681,64.7,111.7,97.6,103.4,75.9,104.9,558.2,381.8
6,2,1,14,0,46,5,80,4,7,3,6,1,3,0,0,5,150,0.032258065,0.967741936,46,85,11,9,4,0,155,0.2452848,64.1,84.5,110,86.4,42.3,6.9,394.2,245.6
6,2,1,14,4,12,5,91,0,4,36,10,4,3,2,0,9,162,0.052631579,0.947368421,16,96,4,46,7,2,171,0.252301832,61.1,78.2,70.2,58.3,23.3,3.5,294.6,155.3
6,2,1,14,0,68,9,86,2,17,4,6,1,1,6,9,9,200,0.043062201,0.956937799,68,95,19,10,2,15,209,0.266635453,56.3,89,87.2,79,87.6,5.4,404.5,259.2
