ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
1,3LEDid10,1,3.964544273,2.545137787,31.78269069,1,0,0.791713014,30.5296962,0.585218968,0.008424669,1.287694604,4.225297791,0.006236246,240,0,120,0
2,3LEDid10,1,3.527902076,2.352637392,26.10277153,1,0,1,8.660093883,0.199251264,0.002385442,1.287694604,4.225297791,0.006236246,240,0,120,0
3,3LEDid10,1,2.856106974,1.737324148,15.67374414,1,0,0.954671858,15.64690526,0.219029135,0.004316804,1.287694604,4.225297791,0.006236246,240,0,120,0
4,3LEDid10,1,2.961476502,1.96771025,18.27394901,0.945494994,0.054505006,0.745828699,27.65089796,0.441590001,0.008069738,1.287694604,4.225297791,0.006236246,240,0,120,0
5,3LEDid10,1,3.161003956,1.530680872,15.14643776,0.98192436,0.01807564,0.963570634,11.00092471,0.228757251,0.003082363,1.287694604,4.225297791,0.006236246,240,0,120,0
6,3LEDid10,1,3.024220932,1.528266603,14.72570899,1,0,0.81868743,38.44389972,0.382319919,0.010592932,1.287694604,4.225297791,0.006236246,240,0,120,0
7,3LEDid10,1,3.584570545,1.66569261,19.93698463,0.173248053,0.826751947,0.127919911,6.977648901,0.125499477,0.010649057,1.287694604,4.225297791,0.006236246,240,0,120,0
8,3LEDid10,1,3.348538859,2.107699071,22.32107216,1,0,0.772803115,40.39550253,0.458791087,0.011151192,1.287694604,4.225297791,0.006236246,240,0,120,0
9,3LEDid10,1,2.813879338,2.037757379,18.01390291,0,1,0,0,0,0,1.287694604,4.225297791,0.006236246,240,0,120,0
10,3LEDid10,1,3.03221459,1.674993535,15.94620062,0.990823137,0.009176863,0.97246941,8.758794912,0.184098173,0.002434953,1.287694604,4.225297791,0.006236246,240,0,120,0
11,3LEDid10,1,3.039709257,1.820576008,17.40775239,1,0,0.881535039,27.02392553,0.382371586,0.007441545,1.287694604,4.225297791,0.006236246,240,0,120,0
12,3LEDid10,1,2.804538727,1.887983218,16.62504352,1,0,0.981646274,7.174689969,0.307836408,0.00197602,1.287694604,4.225297791,0.006236246,240,0,120,0
13,3LEDid28,1,2.372532742,1.721925479,12.89179262,0.927060134,0.072939866,0.872772829,20.11009159,0.617941844,0.006026482,1.287694604,4.225297791,0.006236246,240,0,120,0
14,3LEDid28,1,2.660886318,1.678253043,15.44297922,0.009187082,0.990812918,0,2.34682315,0.038729537,0.035557927,1.287694604,4.225297791,0.006236246,240,0,120,0
15,3LEDid28,1,3.968195287,2.110264414,27.65588599,0.018374165,0.981625835,0,1.712511661,0.009246391,0.017298098,1.287694604,4.225297791,0.006236246,240,0,120,0
16,3LEDid28,1,1.982489151,1.264095154,7.872883209,0.018095768,0.981904232,0.018095768,0.180942738,0.01686507,0.001848576,1.287694604,4.225297791,0.006236246,240,0,120,0
17,3LEDid28,1,NA,NA,NA,0,1,0,0,0,0,1.287694604,4.225297791,0.006236246,240,0,120,0
18,3LEDid28,1,2.804726938,1.693670448,14.9217847,1,0,1,4.361405897,0.245962455,0.001202849,1.287694604,4.225297791,0.006236246,240,0,120,0
19,3LEDid28,1,2.201569608,1.387546551,9.68958595,0.981904232,0.018095768,0.900334076,14.12779,0.548552828,0.003971675,1.287694604,4.225297791,0.006236246,240,0,120,0
20,3LEDid28,1,2.478896295,1.625071264,12.9034902,0.027282851,0.972717149,0,9.162043359,0.053292975,0.069905161,1.287694604,4.225297791,0.006236246,240,0,120,0
21,3LEDid28,1,2.654193988,2.151114441,17.98357627,1,0,1,6.678201797,1.583327659,0.001842941,1.287694604,4.225297791,0.006236246,240,0,120,0
